	Feature	LogRatio
136	stapDX at 3'	0.9417005988241779
137	stapDX at 3'	-0.06213979323253538
138	stapDX at 3'	0.5027186378076588
139	stapDX at 3'	0.3729985341133175
140	stapDX at 3'	-0.23284581866052428
141	stapDX at 3'	0.21921345357090052
142	stapDX at 3'	0.13810500948282728
143	stapDX at 3'	-0.09722942173158666
144	stapDX at 3'	0.9972609355707013
145	stapDX at 3'	-0.29637462066479203
146	stapDX at 3'	-0.17903435266254678
147	stapDX at 3'	-0.34880368608074624
148	stapDX at 3'	0.7349446303766074
149	stapDX at 3'	-0.12912403609099443
150	stapDX at 3'	0.11828817547320576
151	stapDX at 3'	0.8055455079726638
152	stapDX at 3'	-0.5637048721801307
153	stapDX at 3'	0.9437647958657974
154	stapDX at 3'	0.3715319635631649
155	stapDX at 3'	-0.5911918657610948
